gender,hourly_rate (USD),client_satisfaction,is_active
f,100,,0
FEMALE,USD 100,84%,1
male,50,71%,N
F,$40,90%,N
female,30,83%,0
female,$30,,False
m,USD 75,94%,0
male,USD 40,94%,False
male,,76%,True
MALE,$50,,1
m,40,77%,yes
FEMALE,,86%,Y
Female,,86%,0
MALE,USD 75,93%,1
MALE,75,70%,1
m,$30,69%,0
Female,$30,60%,False
M,,87%,
Male,USD 50,75%,N
Male,USD 100,68%,yes
Male,50,65%,False
m,,69%,N
m,USD 30,,N
female,$50,100%,1
f,75,92,
FEMALE,USD 30,70%,1
female,$20,89%,True
Female,,86%,Y
female,30,62%,0
FEMALE,USD 75,,0
Male,,,yes
Male,USD 100,68%,N
M,20,76%,True
male,40,82,yes
FEMALE,75,81%,yes
female,$20,,0
f,40,63%,0
F,40,67%,N
F,50,,yes
Male,$20,80%,0
Female,USD 50,,no
Female,30,84%,1
Female,$50,,no
male,20,63%,True
Female,20,80%,False
male,$75,74%,1
Female,USD 30,85%,1
male,50,77%,N
F,20,,0
m,20,63%,1
FEMALE,75,79%,True
male,50,,0
Male,75,68%,
m,30,68%,0
f,100,72%,True
m,,65%,yes
f,50,76%,False
Male,USD 40,90%,True
FEMALE,75,65%,1
Female,40,63%,0
F,$75,,True
Male,75,,0
Female,$20,93%,yes
f,USD 50,70%,no
F,,83%,Y
FEMALE,40,64,1
Female,USD 75,100%,N
FEMALE,$40,,True
m,100,,False
FEMALE,$20,71%,no
f,,84%,yes
M,USD 50,,False
MALE,$100,69%,yes
Male,,88,False
M,$100,,0
Male,30,96%,True
male,USD 75,96,1
F,USD 40,,N
f,,89%,1
MALE,$100,,False
Female,100,63%,0
f,USD 40,81,
Male,40,74%,N
male,$75,72%,False
Male,$40,,True
female,100,85%,Y
M,$75,,N
f,75,61%,False
Male,100,,False
m,$20,86%,0
male,USD 100,97%,yes
Female,50,63%,1
male,USD 100,97%,Y
M,USD 30,81%,yes
f,20,69%,0
FEMALE,20,64%,Y
f,50,77%,N
Male,20,96,0
MALE,$20,74%,no
m,50,89%,False
m,,64%,1
f,$30,64,0
f,100,73%,1
f,$50,68%,yes
MALE,$30,88%,no
FEMALE,$40,77%,0
m,,,1
F,40,72%,1
F,20,60%,Y
FEMALE,$30,72,
MALE,30,92%,N
FEMALE,USD 50,,1
f,USD 75,92%,
male,$30,,True
Male,USD 20,,
female,$30,86%,0
Female,USD 40,68%,1
MALE,USD 20,62%,1
F,20,,False
male,30,82%,Y
female,75,,1
Female,$40,93,False
MALE,USD 50,64%,Y
f,$50,,
male,,96%,N
Male,,83%,Y
male,$100,64%,yes
male,40,70%,0
m,20,65%,N
Male,40,67%,
f,USD 100,93,no
FEMALE,50,60%,N
MALE,100,62%,N
FEMALE,,70%,
Female,$100,75%,Y
MALE,75,70%,no
female,USD 50,84%,1
F,USD 40,83,0
male,50,,N
m,50,88%,False
m,50,81%,yes
female,USD 20,80%,Y
male,75,67%,1
m,$20,82%,N
m,USD 100,78,True
FEMALE,$40,81%,False
FEMALE,,74%,True
M,30,88%,N
male,40,90%,0
FEMALE,$40,,False
M,USD 40,,
m,20,93%,no
female,100,,1
Female,$75,71%,no
Male,$40,95%,1
M,100,80,0
FEMALE,$20,,N
Male,100,62%,0
male,$50,95%,False
Female,40,79%,0
female,40,62%,no
m,$30,68%,no
M,USD 75,,no
Male,USD 75,80%,0
MALE,40,92%,
female,USD 75,65%,1
m,40,87%,1
FEMALE,75,70%,no
MALE,40,87,no
MALE,20,72%,N
F,40,80%,N
Male,20,66%,0
f,USD 40,,1
M,USD 75,64%,True
male,20,68%,
female,20,63%,0
MALE,20,72%,1
MALE,$30,86%,True
FEMALE,USD 30,73%,1
m,$30,95%,no
FEMALE,20,90%,False
F,$20,78%,0
MALE,30,97%,no
female,,65%,yes
F,40,78%,1
m,50,65%,Y
MALE,$20,,
male,30,95%,1
MALE,USD 40,88%,1
f,,,0
Male,75,92%,0
M,75,75%,no
MALE,$30,74%,False
F,$30,71%,Y
female,USD 40,89%,1
m,$100,66%,
m,$100,,no
Male,40,86%,True
F,$100,86%,Y
female,100,82%,Y
f,100,87,no
FEMALE,100,80%,1
m,USD 100,71%,Y
male,50,77%,N
m,$30,68,0
FEMALE,20,91%,N
m,20,75%,False
f,40,90%,N
male,$75,93,0
Female,40,94%,yes
F,USD 50,64,True
m,$20,84%,yes
male,$20,87%,no
MALE,$40,64%,N
female,100,64%,True
m,$20,80%,True
F,$50,90%,0
M,USD 100,92%,Y
M,,96%,0
m,$30,,yes
FEMALE,100,,Y
MALE,75,85%,
f,USD 40,79%,0
F,30,65%,1
Male,40,63%,False
M,$40,,False
f,USD 40,78%,False
Female,$75,62%,1
M,40,76%,0
FEMALE,100,97,0
male,,,N
f,$50,82%,1
m,50,71%,
m,,,1
f,50,,True
F,30,,Y
F,100,69%,True
M,75,88%,0
Male,USD 40,67%,False
M,USD 50,,0
M,,,1
female,100,67%,0
f,20,86%,
MALE,,69%,False
FEMALE,50,85%,True
f,40,60,0
f,40,70,1
male,,,False
m,75,81%,1
f,100,,1
f,USD 75,78%,0
M,50,81,0
Male,75,71%,1
Male,75,,False
m,30,99%,1
F,$20,66%,True
F,$30,80%,
FEMALE,100,83%,0
male,USD 20,87,yes
Male,30,76,0
Male,50,89%,no
Female,20,94%,yes
Male,,68%,0
Male,30,96%,1
Female,$20,91%,True
Male,100,92%,1
MALE,$40,82%,
F,30,,
Female,100,91%,no
Female,$50,86,yes
FEMALE,,69%,False
f,USD 100,84%,True
f,100,60%,0
male,USD 75,97%,1
Male,100,70%,
FEMALE,USD 100,81%,no
MALE,20,88%,1
Female,$40,100%,1
male,,95,0
female,USD 20,71%,0
M,$20,85%,N
f,30,96%,N
m,USD 20,92%,Y
M,50,79%,False
female,75,,False
f,50,,0
FEMALE,20,89%,False
FEMALE,100,100%,1
FEMALE,30,81%,1
male,100,95,Y
Male,,88%,N
Female,30,66%,yes
FEMALE,100,84%,1
Male,$50,,N
Male,40,82%,Y
FEMALE,,84%,yes
MALE,100,73%,False
M,30,93%,
female,50,64%,
f,40,76%,0
MALE,$100,97%,Y
Male,75,95%,0
Male,75,65%,False
F,USD 50,77%,0
Male,20,,False
FEMALE,75,67%,N
male,$50,84%,0
M,30,87%,1
Male,USD 30,91%,yes
F,USD 75,78%,0
male,50,,0
m,40,74,
F,20,91%,
m,$40,71%,True
M,USD 75,87%,Y
FEMALE,USD 100,61%,1
M,$100,,N
male,100,81%,1
Female,30,,
M,USD 40,84%,1
m,$20,,no
female,$40,,1
M,,60%,1
Male,50,64%,Y
FEMALE,40,64%,1
FEMALE,75,100%,1
male,40,100,True
Female,20,,0
male,$50,83%,True
M,USD 40,87%,1
Female,$100,75%,no
MALE,40,61%,yes
M,,93%,False
FEMALE,USD 30,,1
Female,USD 20,99%,False
male,50,73,0
Female,75,96%,0
Female,40,60%,False
M,20,64%,Y
Male,USD 30,,0
f,USD 20,,N
M,30,99%,no
Female,USD 40,,0
Female,40,71%,Y
MALE,,72%,0
f,USD 50,66%,0
M,40,78%,N
m,USD 20,100,Y
M,40,,
F,75,67,0
male,50,78%,0
MALE,$40,78%,yes
f,$30,75%,0
F,50,67%,True
Female,USD 40,86%,1
MALE,100,77,no
m,$30,61%,0
Female,,90%,0
FEMALE,50,98%,
Male,30,99%,1
M,USD 40,61%,0
Male,USD 50,61%,1
Male,$30,91%,0
FEMALE,75,72,Y
female,$100,,
female,40,96%,False
male,USD 40,72,1
M,,,0
m,$40,63%,1
FEMALE,$20,,N
F,USD 75,83%,N
male,USD 20,94%,
M,$40,78%,1
female,30,,1
MALE,$50,82%,1
male,$30,66%,False
Male,,82,1
female,USD 20,84%,True
MALE,20,81%,N
Male,75,71,N
m,,61%,1
MALE,75,66%,1
FEMALE,$20,97%,True
Female,USD 20,74%,0
f,30,61%,False
M,20,90%,0
m,$40,97%,Y
FEMALE,100,,1
m,20,76%,N
m,40,92%,0
F,40,,0
MALE,$20,66%,1
m,50,83%,0
F,50,,no
f,,,Y
male,$20,82,Y
FEMALE,50,77%,0
f,$50,73%,1
m,,88%,1
MALE,USD 30,81%,0
M,20,78%,N
M,75,92%,False
MALE,$30,64%,0
Female,30,78%,Y
M,20,85,yes
FEMALE,$50,78%,no
male,$30,98%,1
MALE,USD 40,63%,Y
female,USD 40,73%,N
f,30,94%,0
Female,$50,81%,
FEMALE,$50,61%,1
FEMALE,$100,,0
F,20,83%,no
FEMALE,30,,Y
male,$50,68%,no
M,$50,74%,0
male,100,91,False
female,USD 100,97%,1
FEMALE,30,96%,0
male,50,73%,Y
f,,72%,yes
female,$100,74%,True
FEMALE,30,,N
F,20,,1
FEMALE,75,74%,
MALE,100,71%,Y
Female,,83%,N
Female,$75,63%,
FEMALE,,84%,
MALE,,93%,0
m,USD 100,,1
F,$50,93%,Y
f,USD 30,97%,
FEMALE,USD 75,92%,1
MALE,50,92%,Y
male,75,68%,no
male,100,95%,no
m,$100,76%,False
F,USD 100,66%,yes
Male,75,73%,0
Male,USD 20,99%,
M,,94,1
FEMALE,$50,84,False
F,$20,92%,Y
m,$75,,yes
male,USD 50,90,no
FEMALE,20,73%,0
F,100,73%,1
female,30,78%,True
f,$30,63%,True
female,50,64%,
f,75,,1
Male,20,86%,1
M,$40,,False
FEMALE,$100,96%,N
Male,$75,,0
F,$50,77%,0
Male,100,,1
female,30,65%,False
MALE,,62%,1
male,50,81%,no
female,$50,62%,Y
male,40,87%,N
female,$100,,False
F,USD 30,76,1
female,100,70,
F,100,71%,yes
Male,USD 30,83%,1
Female,40,78,0
MALE,40,78%,1
f,50,60%,Y
MALE,$40,,True
FEMALE,75,,1
MALE,$30,94%,0
m,$50,62,0
M,30,,1
M,USD 30,,yes
Female,30,84%,yes
male,75,,1
Male,40,65,no
MALE,40,94%,1
female,$20,69%,no
m,50,65%,yes
male,$75,60%,False
MALE,75,,False
f,$100,62%,
f,30,,yes
MALE,USD 30,89%,yes
Female,$40,89%,yes
M,50,100%,True
FEMALE,,,yes
FEMALE,40,60%,
m,40,85%,no
F,$40,83%,
Male,$30,96%,N
m,,83%,Y
male,100,60%,0
Female,USD 100,78%,1
f,$20,90%,1
m,USD 100,66%,0
M,$50,70%,yes
FEMALE,USD 30,79%,yes
M,40,64%,0
Male,USD 30,81%,N
Male,75,83%,0
M,40,91%,0
male,USD 50,,N
m,75,77%,True
m,USD 75,94%,0
Female,$20,61%,1
FEMALE,100,68%,N
male,50,70%,N
F,40,71,True
female,USD 100,,False
female,$30,78%,yes
FEMALE,USD 50,75,no
F,$20,91%,True
Male,USD 75,66%,1
F,USD 75,68%,1
Female,$100,,N
female,USD 100,62%,0
m,40,90%,no
FEMALE,100,96%,False
F,50,60%,Y
m,,62%,Y
FEMALE,USD 40,74%,False
Male,$20,,1
Female,30,98%,
Male,,63%,yes
M,$50,96,yes
female,USD 20,88%,0
MALE,,,False
female,40,73%,True
MALE,,88%,0
FEMALE,,91%,False
F,$30,65%,no
MALE,20,90,True
f,$20,72%,N
FEMALE,USD 40,72%,1
Male,$30,,N
MALE,USD 40,68%,N
Male,$30,87%,0
MALE,75,72%,no
Female,40,76%,no
f,100,63,0
FEMALE,40,91%,1
M,100,73%,0
Male,40,63%,0
F,USD 20,79%,1
F,20,75,0
female,,70%,0
F,$100,87%,
M,30,,no
MALE,50,88%,Y
male,40,,1
Male,USD 20,93%,False
M,,,1
f,100,74%,no
male,USD 75,70%,
female,30,67%,Y
Female,40,86%,no
FEMALE,50,69%,yes
FEMALE,30,68%,yes
MALE,$50,,no
female,,61%,0
FEMALE,,96%,True
M,50,68%,1
Female,40,75%,True
f,40,69%,0
female,,78%,no
F,75,,Y
F,40,98%,N
f,$30,83%,
MALE,,91%,1
Male,100,96%,1
F,USD 50,85%,1
F,USD 30,72%,False
MALE,$20,69%,
male,$20,90,0
F,20,92%,0
Male,USD 20,91%,Y
MALE,USD 50,,True
m,40,98%,0
M,USD 20,82%,
M,USD 40,83%,True
M,$100,,True
m,100,,True
F,$100,85%,1
f,USD 20,,
M,USD 20,63%,N
female,$20,,0
female,40,86%,1
FEMALE,USD 75,60,yes
M,40,88,1
FEMALE,40,70%,N
m,USD 50,77%,1
M,75,80%,0
Male,$40,,Y
female,,87%,
Female,75,93%,True
male,USD 100,88,
male,20,100%,0
female,$40,61,1
FEMALE,100,79%,False
f,30,73%,
M,,64%,1
M,$100,,True
FEMALE,USD 50,93%,N
F,30,68%,0
male,40,62%,1
FEMALE,USD 40,,no
MALE,50,82%,1
f,,,0
Female,USD 75,85%,
male,USD 100,78%,1
Male,40,86%,1
FEMALE,USD 40,88%,False
Female,30,68%,
female,$100,97%,1
Male,$75,91%,no
M,30,,False
MALE,,97%,N
female,USD 30,64%,yes
Male,USD 50,87%,no
Female,100,86,0
F,$100,97,1
f,USD 30,73%,False
female,USD 75,60%,
F,$40,66,1
m,$75,90%,0
f,$75,,0
m,100,,no
m,,77,yes
MALE,75,79%,1
M,40,83%,0
Female,$50,64%,N
FEMALE,$100,80%,no
M,USD 30,90%,False
F,$50,94%,0
MALE,40,70%,False
male,USD 20,75%,yes
male,75,69%,1
male,USD 30,,0
FEMALE,$50,79%,1
M,$100,71%,1
male,100,72%,Y
FEMALE,$100,93%,N
M,,82%,1
male,$40,60,N
MALE,20,93,0
m,USD 50,,False
MALE,30,74%,False
MALE,$40,73,yes
Female,75,96%,N
female,30,66%,
FEMALE,30,62%,False
Male,USD 75,85%,Y
MALE,100,66%,0
f,20,87%,0
F,20,68,1
Female,100,,1
Female,USD 50,,
FEMALE,100,79%,1
male,$50,88%,1
F,USD 50,81%,1
male,50,,N
FEMALE,,67%,Y
Female,100,62,yes
FEMALE,USD 30,87%,0
female,,98%,yes
male,$75,64%,True
Male,,71%,1
male,50,96,no
MALE,$30,,
M,100,78%,N
F,$20,70%,False
female,50,82%,0
MALE,,,False
female,$20,99%,1
Female,75,93%,Y
FEMALE,100,75%,Y
m,USD 100,61,
MALE,USD 30,97%,no
F,$100,95,1
M,USD 40,69%,
f,USD 100,63%,False
M,USD 30,65%,True
f,,90%,Y
Female,100,,N
f,USD 30,89%,no
FEMALE,USD 50,80%,1
female,50,80%,no
FEMALE,100,,N
FEMALE,,67%,1
male,USD 40,96%,0
Male,20,90%,0
M,,62%,False
f,100,72%,N
MALE,USD 50,83%,Y
f,100,70%,no
m,50,99,no
M,50,97,
M,20,77%,True
male,USD 50,92%,no
F,50,76%,yes
FEMALE,$50,97%,Y
M,USD 100,,Y
f,$20,99,1
MALE,30,,Y
M,40,82%,yes
f,75,78%,yes
f,100,,0
F,$20,,no
male,50,72%,Y
Female,40,,
M,75,,1
M,75,,1
female,$50,,yes
m,100,,Y
female,75,94%,no
MALE,USD 20,,Y
female,20,,True
m,USD 30,77%,Y
FEMALE,$50,84,yes
MALE,40,79,
m,USD 40,69%,0
M,40,68%,Y
Female,$30,73,1
Female,75,74%,1
MALE,USD 20,100%,False
M,40,87%,0
m,100,79%,0
m,30,68%,0
M,USD 100,84%,0
f,50,71%,0
FEMALE,75,92%,no
M,USD 100,69%,no
F,,71%,1
Female,,77%,False
m,50,87%,True
MALE,$30,76%,no
male,USD 75,,no
FEMALE,USD 50,65%,False
M,USD 50,82%,yes
male,100,87,Y
F,$40,100%,N
Male,USD 50,71,N
f,30,87,1
f,USD 30,70,0
MALE,USD 100,83%,1
female,40,74%,Y
FEMALE,30,86%,yes
M,40,72%,1
FEMALE,,73%,True
MALE,USD 75,78%,0
f,75,,True
female,USD 75,75%,N
M,40,96%,0
MALE,USD 40,61%,yes
m,50,100%,True
M,50,82%,Y
m,,80%,1
male,40,96%,
m,20,63%,0
m,$40,67%,0
F,USD 30,61%,1
FEMALE,USD 30,77%,0
F,75,,
Female,50,84%,N
female,USD 100,89%,Y
f,USD 30,90%,
Female,20,87%,False
FEMALE,50,77%,0
M,USD 30,72%,Y
F,50,87%,yes
f,40,89%,True
M,40,87%,0
Female,USD 40,76%,Y
M,50,100%,
F,100,94%,Y
Male,50,,yes
F,$100,83,Y
M,USD 40,74%,0
Male,75,92,0
M,,66%,False
Female,$50,74%,True
female,30,97%,N
F,30,77,
female,,86%,no
M,50,95%,False
FEMALE,,72%,0
FEMALE,,71%,0
Male,$100,93%,True
M,USD 40,,1
m,100,87%,1
Female,,73,False
m,,74%,1
M,20,62%,N
female,20,98%,
FEMALE,50,80%,0
male,USD 20,69,Y
Female,USD 30,90,False
f,75,74%,True
male,50,98%,N
f,USD 20,84%,Y
FEMALE,$20,75%,yes
Male,75,,1
FEMALE,$100,97%,True
f,30,,True
M,20,64%,no
m,30,68%,1
f,$75,67%,1
f,30,79%,no
m,$40,100%,True
f,40,66%,N
Male,USD 75,97%,no
M,100,62%,0
Male,USD 20,,no
Female,75,79%,1
female,40,86%,False
MALE,$30,65%,0
female,20,99%,
male,100,85,False
Male,USD 50,81%,yes
male,$40,64%,N
MALE,20,84%,False
f,40,66%,
female,$75,75,False
Male,30,,
Female,20,63%,1
male,20,70%,Y
Female,$30,90%,
Female,50,79,1
male,40,60%,N
female,USD 75,,0
F,USD 40,80%,N
Male,$50,88,0
m,USD 30,80%,N
Male,30,71%,Y
f,,76%,1
M,USD 30,93%,1
F,USD 30,,0
MALE,75,83%,0
M,$100,71%,0
male,USD 20,96%,yes
F,40,,no
male,75,65%,Y
female,USD 20,,N
FEMALE,50,71%,0
Male,50,63,Y
f,$100,,False
Male,$30,97%,no
Female,$100,,0
m,USD 75,,True
Male,,85%,0
MALE,USD 50,82%,no
f,USD 40,95%,0
Female,,94,0
F,$50,96%,
m,40,63%,yes
Male,20,60%,False
M,50,77%,yes
male,30,63%,0
FEMALE,20,61%,yes
MALE,$50,88%,yes
m,USD 100,69%,1
Male,75,,yes
f,$40,82%,True
MALE,75,96%,N
F,$40,71%,N
f,$75,77%,1
MALE,$75,,yes
Female,75,73%,
M,USD 30,60%,True
f,,67%,1
female,75,80%,False
Male,20,,Y
Male,40,87%,1
FEMALE,20,,no
male,50,,1
FEMALE,USD 100,89%,Y
male,USD 20,93%,True
F,100,84%,1
MALE,$100,78%,
F,$50,90%,no
F,,88%,1
Female,$20,76%,0
male,75,62%,N
MALE,$75,,N
f,USD 100,75,N
Male,USD 100,80,yes
f,30,63%,
Male,75,84%,
f,75,78,1
MALE,$20,74%,False
female,50,90%,0
Male,$40,,0
male,50,,Y
f,50,75,0
Female,40,72%,no
Female,40,92%,yes
FEMALE,USD 20,,N
female,USD 20,,0
male,50,86%,False
female,,85,Y
Male,$40,62,False
Female,USD 30,91%,Y
f,$75,80%,Y
MALE,100,72%,no
M,$75,,
female,75,,yes
MALE,$30,74%,yes
f,USD 50,82%,Y
female,USD 100,85%,no
M,USD 75,68%,True
f,40,99%,Y
female,30,62%,0
male,30,,N
female,30,83%,False
f,30,92%,
female,$75,85%,
F,75,,N
FEMALE,100,,True
Female,30,89%,yes
MALE,,81%,Y
M,USD 100,61,Y
F,$30,,1
MALE,$40,92%,1
Female,30,96%,no
Female,100,66%,False
male,USD 100,64%,N
MALE,40,100%,False
female,40,95%,1
f,,91,
F,USD 20,82%,yes
f,20,95%,Y
Female,,95%,1
MALE,USD 30,69,
MALE,40,91%,yes
Female,$30,,1
FEMALE,40,62%,
MALE,20,81%,0
f,75,94%,no
m,USD 30,95%,no
m,,100%,no
M,75,94%,True
F,30,92%,1
Female,USD 50,95%,True
m,$20,97%,
Male,50,75%,N
f,40,78%,1
m,$100,65%,0
F,40,70,True
Female,$100,78,Y
Male,USD 50,96%,1
F,USD 100,80%,1
F,$20,64%,yes
M,50,92%,False
male,100,,1
MALE,USD 20,71,yes
f,$100,95%,yes
FEMALE,20,86%,N
male,$30,77%,1
Female,100,,
m,$20,72%,
MALE,40,70%,0
FEMALE,30,86%,0
Female,75,,1
m,,82%,0
m,USD 40,81%,True
m,$40,76%,1
MALE,USD 30,90%,N
MALE,30,67%,Y
female,,61%,no
male,100,73%,no
F,75,,0
Male,75,90%,N
MALE,$75,64%,True
m,100,63%,1
male,$40,,
M,20,67%,0
Female,$40,97%,no
female,$75,69,0
m,50,73%,1
m,20,86%,True
Male,50,81,yes
FEMALE,USD 100,74%,1
Male,$100,64,1
Male,75,76%,False
FEMALE,100,73,yes
FEMALE,USD 50,69%,False
Female,$75,79%,0
male,20,89,
Female,30,95%,Y
Male,100,68%,no
f,USD 40,82,N
female,75,94%,False
m,100,97,yes
Female,$20,72,1
